#Node	X	Y	initH	InitT
1	0	0	0	0
2	1	0	0	0
3	2	0	0	0
4	3	0	0	0
5	4	0	0	0
6	5	0	0	0
7	6	0	0	0
8	7	0	0	0
9	8	0	0	0
10	9	0	0	0
11	10	0	0	0
12	11	0	0	0
13	12	0	0	0
14	13	0	0	0
15	14	0	0	0
16	15	0	0	0
17	16	0	0	0
18	17	0	0	0
19	18	0	0	0
20	19	0	0	0
21	20	0	0	0
22	20	-1	0	0
23	20	-2	0	0
24	20	-3	0	0
25	20	-4	0	0
26	20	-5	0	0
27	20	-6	0	0
28	20	-7	0	0
29	20	-8	0	0
30	20	-9	0	0
31	20	-10	0	0
32	19	-10	0	0
33	18	-10	0	0
34	17	-10	0	0
35	16	-10	0	0
36	15	-10	0	0
37	14	-10	0	0
38	13	-10	0	0
39	12	-10	0	0
40	11	-10	0	0
41	10	-10	0	0
42	9	-10	0	0
43	8	-10	0	0
44	7	-10	0	0
45	6	-10	0	0
46	5	-10	0	0
47	4	-10	0	0
48	3	-10	0	0
49	2	-10	0	0
50	1	-10	0	0
51	0	-10	0	0
52	0	-9	0	0
53	0	-8	0	0
54	0	-7	0	0
55	0	-6	0	0
56	0	-5	0	0
57	0	-4	0	0
58	0	-3	0	0
59	0	-2	0	0
60	0	-1	0	0
61	0.667	0	0	0
62	1.334	0	0	0
63	19	-9	0	0
64	19	-8	0	0
65	19	-7	0	0
66	19	-6	0	0
67	18	-9	0	0
68	19	-5	0	0
69	17	-9	0	0
70	19	-4	0	0
71	16	-9	0	0
72	19	-3	0	0
73	15	-9	0	0
74	19	-2	0	0
75	14	-9	0	0
76	19	-1	0	0
77	13	-9	0	0
78	12	-9	0	0
79	11	-9	0	0
80	18	-1	0	0
81	10	-9	0	0
82	17	-1	0	0
83	8.9999888773	-8.9999888383	0	0
84	16	-1	0	0
85	7.9999715914	-8.9999715846	0	0
86	15	-1	0	0
87	6.9999393786	-8.9999396531	0	0
88	14	-1	0	0
89	5.9998692833	-8.9998727848	0	0
90	13	-1	0	0
91	4.9997851812	-8.9997989557	0	0
92	12	-1	0	0
93	3.9998668965	-8.9998852078	0	0
94	10.9999997664	-1.0000008494	0	0
95	3	-9	0	0
96	9.9999994031	-1.0000036486	0	0
97	2	-9	0	0
98	8.9999983002	-1.0000151138	0	0
99	1.0000036912	-9.0000044142	0	0
100	7.9999932013	-1.0000604526	0	0
101	6.9999550848	-1.0000445649	0	0
102	5.9998092047	-1.0001892605	0	0
103	1.0000664102	-8.0000762937	0	0
104	4.9988210583	-0.9987597318	0	0
105	1	-7	0	0
106	3.9981550561	-0.985576248	0	0
107	0.9996962059	-5.9946743124	0	0
108	3.0152193857	-0.9480422163	0	0
109	0.9990692965	-4.9806747092	0	0
110	2.1206732888	-0.8946412111	0	0
111	0.998401777	-3.9378383347	0	0
112	1.4410276036	-0.7288542355	0	0
113	1.0010599445	-2.8210747642	0	0
114	1.0037755185	-1.5518279673	0	0
115	0.5956346142	-0.7635613778	0	0
116	18	-8	0	0
117	18	-7	0	0
118	18	-6	0	0
119	18	-5	0	0
120	17	-8	0	0
121	18	-4	0	0
122	16	-8	0	0
123	18	-3	0	0
124	15	-8	0	0
125	18	-2	0	0
126	14	-8	0	0
127	13	-8	0	0
128	12	-8	0	0
129	11	-8	0	0
130	10	-8	0	0
131	17	-2	0	0
132	8.9999692722	-7.9999692749	0	0
133	16	-2	0	0
134	7.9999188563	-7.9999196089	0	0
135	15	-2	0	0
136	6.9998337318	-7.9998376257	0	0
137	14	-2	0	0
138	5.9996661906	-7.9996807896	0	0
139	13	-2	0	0
140	4.999344816	-7.9993986376	0	0
141	12	-2	0	0
142	3.9992264983	-7.999327993	0	0
143	11.000000438	-2.0000006042	0	0
144	2.9996461732	-7.9997178913	0	0
145	10.0000012559	-2.0000016868	0	0
146	1.9999117153	-7.9999261965	0	0
147	9.0000025977	-2.0000034385	0	0
148	8	-2	0	0
149	6.9990291	-1.9998967592	0	0
150	5.9968890158	-1.9994150605	0	0
151	4.9903071353	-1.9976532184	0	0
152	1.9981253331	-6.9982589575	0	0
153	3.9715334937	-1.9871388623	0	0
154	1.9937724894	-5.9926541785	0	0
155	2.9526313629	-1.9498650515	0	0
156	1.984156886	-4.9795087896	0	0
157	1.9452042283	-1.8612033174	0	0
158	1.9645930404	-3.9494611705	0	0
159	1.9376420166	-2.899225074	0	0
160	17	-7	0	0
161	17	-6	0	0
162	17	-5	0	0
163	17	-4	0	0
164	16	-7	0	0
165	17	-3	0	0
166	15	-7	0	0
167	14	-7	0	0
168	13	-7	0	0
169	12	-7	0	0
170	11	-7	0	0
171	10	-7	0	0
172	9	-7	0	0
173	16	-3	0	0
174	7.9998149218	-6.9998184613	0	0
175	15	-3	0	0
176	6.9995760603	-6.9995932054	0	0
177	14	-3	0	0
178	5.9991160995	-6.9991745461	0	0
179	13	-3	0	0
180	4.9984211246	-6.9986012778	0	0
181	12	-3	0	0
182	3.9974483808	-6.9978440105	0	0
183	11	-3	0	0
184	2.9971783771	-6.9976863448	0	0
185	10	-3	0	0
186	9	-3	0	0
187	8	-3	0	0
188	6.998533038	-2.9990193021	0	0
189	5.9943097164	-2.9964336644	0	0
190	4.9854884377	-2.9910179831	0	0
191	3.9671483331	-2.9800913204	0	0
192	2.992290914	-5.9935222323	0	0
193	2.945293595	-2.9543456637	0	0
194	2.9821055882	-4.9844120671	0	0
195	2.965736363	-3.9715210647	0	0
196	16	-6	0	0
197	16	-5	0	0
198	16	-4	0	0
199	15	-6	0	0
200	14	-6	0	0
201	13	-6	0	0
202	12	-6	0	0
203	11	-6	0	0
204	10	-6	0	0
205	9	-6	0	0
206	7.9996059124	-5.9996189253	0	0
207	15	-4	0	0
208	6.9990995331	-5.9991558112	0	0
209	14	-4	0	0
210	5.9980881175	-5.9982732234	0	0
211	13	-4	0	0
212	4.996442595	-5.9969914555	0	0
213	12	-4	0	0
214	3.9942910063	-5.9953694842	0	0
215	11	-4	0	0
216	10	-4	0	0
217	9	-4	0	0
218	7.9994360248	-3.9995029641	0	0
219	6.9980907243	-3.9983972275	0	0
220	5.9948590379	-3.9958182328	0	0
221	4.9883948123	-3.9912372258	0	0
222	3.9776719165	-3.9838195987	0	0
223	3.9882979484	-4.990941482	0	0
224	15	-5	0	0
225	14	-5	0	0
226	13	-5	0	0
227	12	-5	0	0
228	11	-5	0	0
229	10	-5	0	0
230	9	-5	0	0
231	7.9995683896	-4.9995950681	0	0
232	6.9984266696	-4.9985845426	0	0
233	5.9965580515	-4.9970124531	0	0
234	4.9929666464	-4.9943613996	0	0
235	1.0061702016	-0.4361850574	0	0
